# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 231K of event 'cycles'
# Event count (approx.): 247441296710
#
# Overhead  Command  Shared Object      Symbol                                            
# ........  .......  .................  ..................................................
#
     0.12%  nuXmv    nuXmv              [.] 0x00000000009c8466
     0.12%  nuXmv    [kernel.kallsyms]  [k] psi_group_change
     0.12%  nuXmv    nuXmv              [.] 0x00000000009dc0f0
     0.12%  nuXmv    nuXmv              [.] 0x00000000009c8494
     0.12%  nuXmv    nuXmv              [.] 0x00000000009cbef8
     0.11%  nuXmv    nuXmv              [.] 0x0000000000bbfdbf
     0.11%  nuXmv    [kernel.kallsyms]  [k] new_sync_write
     0.11%  nuXmv    nuXmv              [.] 0x00000000009c8588
     0.11%  nuXmv    [kernel.kallsyms]  [k] common_file_perm
     0.11%  nuXmv    nuXmv              [.] 0x00000000009dc3a1
     0.11%  nuXmv    nuXmv              [.] 0x00000000009c8532
     0.11%  nuXmv    nuXmv              [.] 0x00000000009c851f
     0.11%  nuXmv    nuXmv              [.] 0x00000000009e5a60
     0.11%  nuXmv    nuXmv              [.] 0x00000000009c8440
     0.11%  nuXmv    nuXmv              [.] 0x00000000009dc100
     0.11%  nuXmv    nuXmv              [.] 0x00000000009fb947
     0.10%  nuXmv    nuXmv              [.] 0x00000000009c844a
     0.10%  nuXmv    nuXmv              [.] 0x00000000009dc103
     0.10%  nuXmv    nuXmv              [.] 0x00000000009c869d
     0.10%  nuXmv    nuXmv              [.] 0x00000000009dc0c2
     0.10%  nuXmv    [kernel.kallsyms]  [k] tty_buffer_space_avail
     0.10%  nuXmv    nuXmv              [.] 0x00000000009e5ca0
     0.10%  nuXmv    nuXmv              [.] 0x00000000009c8708
     0.10%  nuXmv    nuXmv              [.] 0x00000000009fbc35
     0.10%  nuXmv    nuXmv              [.] 0x00000000009dc3ca
     0.10%  nuXmv    nuXmv              [.] 0x000000000094aaed
     0.09%  nuXmv    [kernel.kallsyms]  [k] ldsem_down_read
     0.09%  nuXmv    [kernel.kallsyms]  [k] enqueue_entity
     0.09%  nuXmv    nuXmv              [.] 0x00000000009dc3b2
     0.09%  nuXmv    [kernel.kallsyms]  [k] copy_user_generic_unrolled
     0.09%  nuXmv    nuXmv              [.] 0x00000000009dc0f4
     0.09%  nuXmv    nuXmv              [.] 0x00000000009e5a82
     0.09%  nuXmv    nuXmv              [.] 0x00000000009e5a90
     0.09%  nuXmv    [kernel.kallsyms]  [k] __fget_light
     0.09%  nuXmv    nuXmv              [.] 0x00000000009fb93e
     0.09%  nuXmv    nuXmv              [.] 0x00000000009c8582
     0.09%  nuXmv    nuXmv              [.] 0x00000000009dc3c6
     0.09%  nuXmv    nuXmv              [.] 0x00000000009dc3be
     0.09%  nuXmv    nuXmv              [.] 0x00000000009c8446
     0.09%  nuXmv    [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.09%  nuXmv    nuXmv              [.] 0x00000000009fb990
     0.08%  nuXmv    [kernel.kallsyms]  [k] __x86_indirect_thunk_rax
     0.08%  nuXmv    nuXmv              [.] 0x000000000094aa92
     0.08%  nuXmv    nuXmv              [.] 0x000000000094c519
     0.08%  nuXmv    [kernel.kallsyms]  [k] __lock_text_start
     0.08%  nuXmv    [kernel.kallsyms]  [k] up_read
     0.08%  nuXmv    nuXmv              [.] 0x00000000009c849e
     0.08%  nuXmv    nuXmv              [.] 0x00000000009c8688
     0.08%  nuXmv    nuXmv              [.] 0x00000000009c88ba
     0.08%  nuXmv    nuXmv              [.] 0x00000000009c853d
     0.08%  nuXmv    nuXmv              [.] 0x00000000009d9b06
     0.08%  nuXmv    nuXmv              [.] 0x0000000000954933
     0.08%  nuXmv    nuXmv              [.] 0x00000000009c8442
     0.08%  nuXmv    nuXmv              [.] 0x00000000009c8713
     0.08%  nuXmv    [kernel.kallsyms]  [k] _copy_from_iter
     0.08%  nuXmv    nuXmv              [.] 0x00000000009c84fd
     0.08%  nuXmv    [kernel.kallsyms]  [k] tty_write
     0.08%  nuXmv    [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.08%  nuXmv    nuXmv              [.] 0x0000000000959834
     0.08%  nuXmv    nuXmv              [.] 0x00000000009e41e4
     0.08%  nuXmv    [kernel.kallsyms]  [k] send_call_function_single_ipi
     0.07%  nuXmv    [kernel.kallsyms]  [k] pty_write
     0.07%  nuXmv    [kernel.kallsyms]  [k] apparmor_file_permission
     0.07%  nuXmv    nuXmv              [.] 0x00000000009c844e
     0.07%  nuXmv    nuXmv              [.] 0x00000000009c84e9
     0.07%  nuXmv    nuXmv              [.] 0x00000000009fb878
     0.07%  nuXmv    [kernel.kallsyms]  [k] mutex_trylock
     0.07%  nuXmv    nuXmv              [.] 0x00000000009c8448
     0.07%  nuXmv    [kernel.kallsyms]  [k] mutex_lock
     0.07%  nuXmv    nuXmv              [.] 0x00000000009dc3ab
     0.07%  nuXmv    nuXmv              [.] 0x00000000009fb942
     0.07%  nuXmv    nuXmv              [.] 0x00000000009cbea5
     0.07%  nuXmv    [kernel.kallsyms]  [k] down_read
     0.07%  nuXmv    nuXmv              [.] 0x00000000009c8459
     0.07%  nuXmv    [kernel.kallsyms]  [k] __check_object_size
     0.07%  nuXmv    nuXmv              [.] 0x00000000009cbeb5
     0.07%  nuXmv    nuXmv              [.] 0x00000000009e3eaf
     0.07%  nuXmv    nuXmv              [.] 0x0000000000995f45
     0.07%  nuXmv    nuXmv              [.] 0x00000000009c84f9
     0.07%  nuXmv    nuXmv              [.] 0x00000000009c8590
     0.07%  nuXmv    nuXmv              [.] 0x000000000094aaef
     0.07%  nuXmv    nuXmv              [.] 0x00000000009c8528
     0.07%  nuXmv    nuXmv              [.] 0x00000000009e417a
     0.07%  nuXmv    nuXmv              [.] 0x00000000009e5a70
     0.07%  nuXmv    nuXmv              [.] 0x00000000009c8852
     0.07%  nuXmv    nuXmv              [.] 0x00000000009e4f21
     0.07%  nuXmv    nuXmv              [.] 0x00000000009c8631
     0.07%  nuXmv    nuXmv              [.] 0x0000000000ca3a7c
     0.07%  nuXmv    nuXmv              [.] 0x00000000009c8510
     0.07%  nuXmv    nuXmv              [.] 0x00000000009c854e
     0.06%  nuXmv    nuXmv              [.] 0x00000000009c857d
     0.06%  nuXmv    [kernel.kallsyms]  [k] tty_insert_flip_string_fixed_flag
     0.06%  nuXmv    nuXmv              [.] 0x00000000009ca074
     0.06%  nuXmv    nuXmv              [.] 0x00000000009c8609
     0.06%  nuXmv    nuXmv              [.] 0x00000000009c8546
     0.06%  nuXmv    nuXmv              [.] 0x00000000009c8496
     0.06%  nuXmv    nuXmv              [.] 0x00000000009c845e
     0.06%  nuXmv    nuXmv              [.] 0x00000000009c85f4
     0.06%  nuXmv    nuXmv              [.] 0x00000000009fc676
     0.06%  nuXmv    [kernel.kallsyms]  [k] process_echoes
     0.06%  nuXmv    nuXmv              [.] 0x00000000009c851d
     0.06%  nuXmv    nuXmv              [.] 0x00000000009e5bbf
     0.06%  nuXmv    nuXmv              [.] 0x00000000009e6163
     0.06%  nuXmv    [kernel.kallsyms]  [k] entry_SYSCALL_64_safe_stack
     0.06%  nuXmv    nuXmv              [.] 0x00000000009e5ada
     0.06%  nuXmv    nuXmv              [.] 0x00000000009fb970
     0.06%  nuXmv    nuXmv              [.] 0x00000000009fb93a
     0.06%  nuXmv    [kernel.kallsyms]  [k] __fsnotify_parent
     0.06%  nuXmv    nuXmv              [.] 0x00000000009e5c8d
     0.06%  nuXmv    nuXmv              [.] 0x00000000009dc387
     0.06%  nuXmv    [kernel.kallsyms]  [k] ksys_write
     0.06%  nuXmv    [kernel.kallsyms]  [k] memcpy_erms
     0.06%  nuXmv    [kernel.kallsyms]  [k] ldsem_up_read
     0.06%  nuXmv    nuXmv              [.] 0x00000000009e5a35
     0.06%  nuXmv    nuXmv              [.] 0x000000000095ed5c
     0.05%  nuXmv    nuXmv              [.] 0x00000000009c86b1
     0.05%  nuXmv    nuXmv              [.] 0x00000000009c8495
     0.05%  nuXmv    nuXmv              [.] 0x000000000094c4f3
     0.05%  nuXmv    nuXmv              [.] 0x00000000009dc1c4
     0.05%  nuXmv    nuXmv              [.] 0x00000000009fbbb4
     0.05%  nuXmv    [kernel.kallsyms]  [k] native_sched_clock
     0.05%  nuXmv    nuXmv              [.] 0x00000000009e59f0
     0.05%  nuXmv    nuXmv              [.] 0x00000000009e5a54
     0.05%  nuXmv    nuXmv              [.] 0x00000000009549ca
     0.05%  nuXmv    nuXmv              [.] 0x00000000009e5a20
     0.05%  nuXmv    nuXmv              [.] 0x00000000009c871f
     0.05%  nuXmv    nuXmv              [.] 0x00000000009c8553
     0.05%  nuXmv    nuXmv              [.] 0x00000000009c8606
     0.05%  nuXmv    [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.05%  nuXmv    nuXmv              [.] 0x00000000009e5ca9
     0.05%  nuXmv    nuXmv              [.] 0x00000000009c84d7
     0.05%  nuXmv    nuXmv              [.] 0x00000000009cbe9d
     0.05%  nuXmv    nuXmv              [.] 0x00000000009dc37a
     0.05%  nuXmv    nuXmv              [.] 0x0000000000949940
     0.05%  nuXmv    nuXmv              [.] 0x00000000009c8727
     0.05%  nuXmv    nuXmv              [.] 0x00000000009e5a2b
     0.05%  nuXmv    nuXmv              [.] 0x00000000009c8693
     0.05%  nuXmv    nuXmv              [.] 0x00000000009e5a80
     0.05%  nuXmv    [kernel.kallsyms]  [k] check_preempt_curr
     0.05%  nuXmv    nuXmv              [.] 0x0000000000ca3b1e
     0.05%  nuXmv    nuXmv              [.] 0x000000000095b847
     0.05%  nuXmv    nuXmv              [.] 0x00000000009cbe89
     0.05%  nuXmv    nuXmv              [.] 0x00000000009c8568
     0.05%  nuXmv    nuXmv              [.] 0x00000000009e5bcb
     0.05%  nuXmv    nuXmv              [.] 0x00000000009c849c
     0.05%  nuXmv    nuXmv              [.] 0x00000000009cc059
     0.05%  nuXmv    nuXmv              [.] 0x00000000009cc831
     0.05%  nuXmv    [kernel.kallsyms]  [k] __wake_up_common_lock
     0.05%  nuXmv    nuXmv              [.] 0x00000000009dc3ed
     0.05%  nuXmv    nuXmv              [.] 0x00000000009c84a9
     0.05%  nuXmv    [kernel.kallsyms]  [k] security_file_permission
     0.05%  nuXmv    nuXmv              [.] 0x00000000009c84c9
     0.05%  nuXmv    nuXmv              [.] 0x00000000009c8530
     0.05%  nuXmv    nuXmv              [.] 0x00000000009e5be1
     0.05%  nuXmv    nuXmv              [.] 0x00000000009ca113
     0.05%  nuXmv    nuXmv              [.] 0x00000000009e5c97
     0.05%  nuXmv    nuXmv              [.] 0x00000000009c849a
     0.05%  nuXmv    nuXmv              [.] 0x00000000009fb914
     0.05%  nuXmv    nuXmv              [.] 0x00000000009c84af
     0.05%  nuXmv    nuXmv              [.] 0x00000000009cba30
     0.05%  nuXmv    nuXmv              [.] 0x00000000009c8498
     0.05%  nuXmv    nuXmv              [.] 0x00000000009c8475
     0.05%  nuXmv    [kernel.kallsyms]  [k] __virt_addr_valid
     0.05%  nuXmv    nuXmv              [.] 0x00000000009dc0a3
     0.05%  nuXmv    nuXmv              [.] 0x00000000009c84a0
     0.05%  nuXmv    nuXmv              [.] 0x00000000009cba71
     0.05%  nuXmv    nuXmv              [.] 0x00000000009c8601
     0.04%  nuXmv    nuXmv              [.] 0x00000000009fb902
     0.04%  nuXmv    nuXmv              [.] 0x00000000009c867f
     0.04%  nuXmv    nuXmv              [.] 0x00000000009fc633
     0.04%  nuXmv    nuXmv              [.] 0x000000000095b872
     0.04%  nuXmv    nuXmv              [.] 0x00000000009fbbf2
     0.04%  nuXmv    nuXmv              [.] 0x00000000009cb9da
     0.04%  nuXmv    nuXmv              [.] 0x00000000009e5a00
     0.04%  nuXmv    nuXmv              [.] 0x00000000009c8444
     0.04%  nuXmv    [kernel.kallsyms]  [k] pty_write_room
     0.04%  nuXmv    nuXmv              [.] 0x00000000009c8620
     0.04%  nuXmv    nuXmv              [.] 0x00000000009c8449
     0.04%  nuXmv    [kernel.kallsyms]  [k] select_task_rq_fair
     0.04%  nuXmv    nuXmv              [.] 0x00000000009c8491
     0.04%  nuXmv    nuXmv              [.] 0x00000000009c8484
     0.04%  nuXmv    nuXmv              [.] 0x00000000009cb9f6
     0.04%  nuXmv    nuXmv              [.] 0x00000000009c86b6
     0.04%  nuXmv    nuXmv              [.] 0x00000000009c8537
     0.04%  nuXmv    nuXmv              [.] 0x00000000009e5a40
     0.04%  nuXmv    nuXmv              [.] 0x00000000009c85cc
     0.04%  nuXmv    nuXmv              [.] 0x000000000094aa8b
     0.04%  nuXmv    nuXmv              [.] 0x00000000009c8469
     0.04%  nuXmv    nuXmv              [.] 0x00000000009dc385
     0.04%  nuXmv    nuXmv              [.] 0x00000000009dc0d7
     0.04%  nuXmv    nuXmv              [.] 0x00000000009c8540
     0.04%  nuXmv    nuXmv              [.] 0x00000000009cbe83
     0.04%  nuXmv    nuXmv              [.] 0x00000000009e5c8f
     0.04%  nuXmv    [kernel.kallsyms]  [k] __x64_sys_write
     0.04%  nuXmv    nuXmv              [.] 0x00000000009c852c
     0.04%  nuXmv    nuXmv              [.] 0x000000000094aa96
     0.04%  nuXmv    [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.04%  nuXmv    nuXmv              [.] 0x00000000009cba02
     0.04%  nuXmv    nuXmv              [.] 0x00000000009c85e0
     0.04%  nuXmv    nuXmv              [.] 0x00000000009e5aa1
     0.04%  nuXmv    nuXmv              [.] 0x00000000009c85d1
     0.04%  nuXmv    [kernel.kallsyms]  [k] __update_load_avg_se
     0.04%  nuXmv    [kernel.kallsyms]  [k] do_syscall_64
     0.04%  nuXmv    [kernel.kallsyms]  [k] ttwu_do_activate
     0.04%  nuXmv    nuXmv              [.] 0x0000000000caa8ea
     0.04%  nuXmv    nuXmv              [.] 0x00000000009c85dd
     0.04%  nuXmv    nuXmv              [.] 0x00000000009cc054
     0.04%  nuXmv    nuXmv              [.] 0x00000000009cbe8b
     0.04%  nuXmv    nuXmv              [.] 0x00000000009e59e3
     0.04%  nuXmv    nuXmv              [.] 0x00000000009c8716
     0.04%  nuXmv    nuXmv              [.] 0x00000000009fb996
     0.04%  nuXmv    nuXmv              [.] 0x0000000000995d86
     0.04%  nuXmv    nuXmv              [.] 0x000000000095b84e
     0.04%  nuXmv    nuXmv              [.] 0x00000000009c8661
     0.04%  nuXmv    nuXmv              [.] 0x00000000009c8736
     0.04%  nuXmv    nuXmv              [.] 0x00000000009c8676
     0.04%  nuXmv    nuXmv              [.] 0x0000000000995f95
     0.04%  nuXmv    nuXmv              [.] 0x00000000009e5aa5
     0.04%  nuXmv    nuXmv              [.] 0x00000000009e5ae2
     0.04%  nuXmv    nuXmv              [.] 0x00000000009dc181
     0.04%  nuXmv    nuXmv              [.] 0x00000000009c873a
     0.03%  nuXmv    nuXmv              [.] 0x00000000009e3ea0
     0.03%  nuXmv    nuXmv              [.] 0x00000000008e5799
     0.03%  nuXmv    nuXmv              [.] 0x000000000095b850
     0.03%  nuXmv    nuXmv              [.] 0x00000000009e59d0
     0.03%  nuXmv    nuXmv              [.] 0x00000000009dc399
     0.03%  nuXmv    nuXmv              [.] 0x00000000009e59d2
     0.03%  nuXmv    [kernel.kallsyms]  [k] __default_send_IPI_dest_field
     0.03%  nuXmv    nuXmv              [.] 0x00000000009c8697
     0.03%  nuXmv    nuXmv              [.] 0x00000000009cc057
     0.03%  nuXmv    nuXmv              [.] 0x00000000009c84ce
     0.03%  nuXmv    [kernel.kallsyms]  [k] __radix_tree_lookup
     0.03%  nuXmv    nuXmv              [.] 0x00000000009fb8d4
     0.03%  nuXmv    nuXmv              [.] 0x000000000094b94a
     0.03%  nuXmv    nuXmv              [.] 0x00000000009c8452
     0.03%  nuXmv    nuXmv              [.] 0x000000000095b834
     0.03%  nuXmv    nuXmv              [.] 0x00000000009c855d
     0.03%  nuXmv    nuXmv              [.] 0x00000000009e59f6
     0.03%  nuXmv    nuXmv              [.] 0x00000000009ca1f2
     0.03%  nuXmv    nuXmv              [.] 0x00000000009c85ea
     0.03%  nuXmv    nuXmv              [.] 0x00000000009e3eb3
     0.03%  nuXmv    nuXmv              [.] 0x00000000009e3e97
     0.03%  nuXmv    nuXmv              [.] 0x00000000009fb8fe
     0.03%  nuXmv    nuXmv              [.] 0x00000000009c85c1
     0.03%  nuXmv    [kernel.kallsyms]  [k] tty_ldisc_ref_wait
     0.03%  nuXmv    nuXmv              [.] 0x00000000009c86a9
     0.03%  nuXmv    nuXmv              [.] 0x00000000009d9b00
     0.03%  nuXmv    nuXmv              [.] 0x00000000009ca1ac
     0.03%  nuXmv    nuXmv              [.] 0x00000000009c86a6
     0.03%  nuXmv    nuXmv              [.] 0x00000000009dc162
     0.03%  nuXmv    nuXmv              [.] 0x00000000009e5cae
     0.03%  nuXmv    nuXmv              [.] 0x00000000009c87fe
     0.03%  nuXmv    nuXmv              [.] 0x00000000009cba34
     0.03%  nuXmv    nuXmv              [.] 0x00000000009c8478
     0.03%  nuXmv    nuXmv              [.] 0x00000000009fc62d
     0.03%  nuXmv    nuXmv              [.] 0x00000000009cbee2
     0.03%  nuXmv    nuXmv              [.] 0x00000000009cb9e2
     0.03%  nuXmv    nuXmv              [.] 0x00000000009c85c4
     0.03%  nuXmv    nuXmv              [.] 0x00000000009dc204
     0.03%  nuXmv    nuXmv              [.] 0x000000000095b837
     0.03%  nuXmv    nuXmv              [.] 0x000000000095b840
     0.03%  nuXmv    nuXmv              [.] 0x00000000009fb938
     0.03%  nuXmv    [kernel.kallsyms]  [k] update_load_avg
     0.03%  nuXmv    nuXmv              [.] 0x00000000009ca1c0
     0.03%  nuXmv    nuXmv              [.] 0x00000000009c8656
     0.03%  nuXmv    nuXmv              [.] 0x000000000095b862
     0.03%  nuXmv    nuXmv              [.] 0x00000000009cb9d8
     0.03%  nuXmv    nuXmv              [.] 0x00000000009c8464
     0.03%  nuXmv    nuXmv              [.] 0x00000000009dc064
     0.03%  nuXmv    nuXmv              [.] 0x00000000009ca1f1
     0.03%  nuXmv    nuXmv              [.] 0x0000000000cb7ac2
     0.03%  nuXmv    nuXmv              [.] 0x00000000009c84c0
     0.03%  nuXmv    nuXmv              [.] 0x000000000094c4f0
     0.03%  nuXmv    nuXmv              [.] 0x00000000009c8653
     0.03%  nuXmv    [kernel.kallsyms]  [k] __wake_up_common
     0.03%  nuXmv    nuXmv              [.] 0x00000000009fb8c7
     0.03%  nuXmv    nuXmv              [.] 0x000000000094af55
     0.03%  nuXmv    nuXmv              [.] 0x00000000009e4167
     0.03%  nuXmv    nuXmv              [.] 0x00000000009ca025
     0.03%  nuXmv    nuXmv              [.] 0x0000000000949944
     0.03%  nuXmv    nuXmv              [.] 0x000000000094aaf5
     0.03%  nuXmv    nuXmv              [.] 0x00000000009e5a57
     0.03%  nuXmv    nuXmv              [.] 0x00000000009ca020
     0.03%  nuXmv    nuXmv              [.] 0x00000000009e3e78
     0.03%  nuXmv    nuXmv              [.] 0x00000000009fb90d
     0.03%  nuXmv    nuXmv              [.] 0x00000000009e5a48
     0.03%  nuXmv    nuXmv              [.] 0x00000000009c8455
     0.03%  nuXmv    nuXmv              [.] 0x00000000009cba21
     0.03%  nuXmv    nuXmv              [.] 0x00000000009c85c7
     0.03%  nuXmv    nuXmv              [.] 0x000000000095ed86
     0.03%  nuXmv    nuXmv              [.] 0x00000000009c85b0
     0.03%  nuXmv    nuXmv              [.] 0x00000000009cbf13
     0.03%  nuXmv    nuXmv              [.] 0x00000000009c84de
     0.03%  nuXmv    nuXmv              [.] 0x00000000009c8461
     0.03%  nuXmv    nuXmv              [.] 0x00000000009ca22a
     0.03%  nuXmv    nuXmv              [.] 0x00000000009e3e91
     0.03%  nuXmv    nuXmv              [.] 0x00000000009cbebd
     0.03%  nuXmv    nuXmv              [.] 0x00000000009e5cb0
     0.03%  nuXmv    nuXmv              [.] 0x00000000009e5ab4
     0.03%  nuXmv    nuXmv              [.] 0x00000000009e59ea
     0.03%  nuXmv    nuXmv              [.] 0x00000000009cc0a8
     0.03%  nuXmv    nuXmv              [.] 0x00000000009cbee1
     0.03%  nuXmv    nuXmv              [.] 0x00000000009ca02e
     0.03%  nuXmv    nuXmv              [.] 0x00000000009cbe92
     0.03%  nuXmv    nuXmv              [.] 0x0000000000bbfdc9
     0.03%  nuXmv    nuXmv              [.] 0x00000000009c8723
     0.03%  nuXmv    nuXmv              [.] 0x000000000095b510
     0.03%  nuXmv    [kernel.kallsyms]  [k] rcu_all_qs
     0.03%  nuXmv    [kernel.kallsyms]  [k] aa_file_perm
     0.03%  nuXmv    nuXmv              [.] 0x00000000009c84a3
     0.03%  nuXmv    nuXmv              [.] 0x00000000009e59d9
     0.03%  nuXmv    nuXmv              [.] 0x00000000009ca03e
     0.03%  nuXmv    [kernel.kallsyms]  [k] default_send_IPI_single_phys
     0.03%  nuXmv    nuXmv              [.] 0x000000000095eda0
     0.03%  nuXmv    nuXmv              [.] 0x00000000009c8501
     0.03%  nuXmv    nuXmv              [.] 0x00000000009c85aa
     0.03%  nuXmv    nuXmv              [.] 0x00000000009c85bb
     0.03%  nuXmv    nuXmv              [.] 0x00000000009c853b
     0.03%  nuXmv    nuXmv              [.] 0x000000000095b528
     0.03%  nuXmv    nuXmv              [.] 0x00000000009c859d
     0.03%  nuXmv    nuXmv              [.] 0x0000000000ca7557
