 boardCurX: 9, boardCurY: 4, envTarX: 4, envTarY: 3, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 10, boardCurY: 4, envTarX: 5, envTarY: 3, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 10, boardCurY: 5, envTarX: 5, envTarY: 3, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 9, boardCurY: 5, envTarX: 5, envTarY: 3, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 8, boardCurY: 5, envTarX: 5, envTarY: 3, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 7, boardCurY: 5, envTarX: 5, envTarY: 3, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 6, boardCurY: 5, envTarX: 5, envTarY: 3, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 5, boardCurY: 5, envTarX: 5, envTarY: 3, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 4, boardCurY: 5, envTarX: 5, envTarY: 3, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 3, boardCurY: 5, envTarX: 5, envTarY: 3, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 2, boardCurY: 5, envTarX: 5, envTarY: 3, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 1, boardCurY: 5, envTarX: 5, envTarY: 3, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 0, boardCurY: 5, envTarX: 5, envTarY: 3, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 0, boardCurY: 6, envTarX: 5, envTarY: 3, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 1, boardCurY: 6, envTarX: 5, envTarY: 3, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 2, boardCurY: 6, envTarX: 5, envTarY: 3, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 3, boardCurY: 6, envTarX: 5, envTarY: 3, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 4, boardCurY: 6, envTarX: 5, envTarY: 3, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 5, boardCurY: 6, envTarX: 5, envTarY: 3, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 6, boardCurY: 6, envTarX: 5, envTarY: 3, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 7, boardCurY: 6, envTarX: 5, envTarY: 3, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 8, boardCurY: 6, envTarX: 5, envTarY: 3, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 9, boardCurY: 6, envTarX: 5, envTarY: 3, envTreeX: [5, 5], envTreeY: [4, 5]
 boardCurX: 10, boardCurY: 6, envTarX: 5, envTarY: 3, envTreeX: [5, 5], envTreeY: [4, 5]
